Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  227.27272727272728  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  228.2828282828283  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  229.2929292929293  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  230.3030303030303  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  231.31313131313132  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  232.32323232323233  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  233.33333333333334  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  234.34343434343435  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  235.35353535353536  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  236.36363636363637  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  237.37373737373738  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  238.3838383838384  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  239.3939393939394  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  240.40404040404042  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  241.41414141414143  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  242.42424242424244  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  243.43434343434345  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  244.44444444444446  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  245.45454545454547  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  246.46464646464648  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  247.4747474747475  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  248.4848484848485  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  249.49494949494948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  250.50505050505052  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  251.5151515151515  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  252.52525252525254  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  253.53535353535352  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  254.54545454545456  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  255.55555555555554  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  256.5656565656566  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  257.57575757575756  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  258.5858585858586  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  259.5959595959596  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  260.6060606060606  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  261.6161616161616  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  262.62626262626264  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  263.6363636363636  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  264.64646464646466  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  265.65656565656565  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  266.6666666666667  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  267.67676767676767  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  268.6868686868687  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  269.6969696969697  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  270.7070707070707  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  271.7171717171717  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x14a5010ee700>  (PXe,PAr,f)  ( 24  ,  272.72727272727275  ,  0.7500000000000072  )
