Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  368.42105263157896  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  405.2631578947369  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  405.2631578947369  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  405.2631578947369  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  442.1052631578948  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  442.1052631578948  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  442.1052631578948  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  478.94736842105266  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  478.94736842105266  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  478.94736842105266  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  515.7894736842105  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  515.7894736842105  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  515.7894736842105  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  552.6315789473684  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  552.6315789473684  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  552.6315789473684  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  589.4736842105264  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  589.4736842105264  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  589.4736842105264  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  626.3157894736843  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  626.3157894736843  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  626.3157894736843  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  663.1578947368422  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  663.1578947368422  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  663.1578947368422  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  700.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  700.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  700.0  ,  0.5000000000000167  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  0.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  0.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  0.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  36.8421052631579  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  36.8421052631579  ,  0.7500000000000072  )
